,Has Twitter,Number of tweets in total,Twitter Handle,Twitter followers,Twitter following
230165,1,14257,JesuitsBritain,5191,569
1015086,0,,,,
1005353,1,3653,baprasvoice,5773,1450
262666,0,,,,
1016956,0,,,,
1058297,0,,,,
288758,0,,,,
230708,0,,,,
251262,0,,,,
1058392,0,,,,
1006009,0,,,,
251926,1,24137,TheHowardLeague,27638,781
230011,1,401,LTCharity,673,2343
252370,0,,,,
252660,1,1733,LondMathSoc,9501,554
231192,0,,,,
1007023,1,8232,nasen_org,9963,933
262835,0,,,,
253669,0,,,,
1007156,0,,,,
1026685,1,6694,NCTJ_news,8850,838
263260,1,67654,wix,411909,8216
255095,1,6429,Ldn_sinfonietta,29375,1625
1010360,0,,,,
1026921,0,,,,
263875,0,,,,
264302,0,,,,
1011325,1,3619,lennoxccf,647,573
1038274,0,,,,
264659,0,,,,
1012222,0,,,,
1019182,1,163,SOLDevon,116,206
259358,1,26994,vegsoc,109739,5827
259892,0,,,,
1024795,0,,,,
1041403,1,1403,LearningtoWork,818,559
265702,0,,,,
1025258,0,,,,
262859,0,,,,
266849,0,,,,
273424,0,,,,
268293,1,21282,samaritans,113000,2549
273434,1,210,WPF_Therapy,839,847
1025600,1,6131,catalysthousing,9073,953
268939,0,,,,
272384,0,,,,
1026669,0,,,,
272071,1,4544,NutritionSoc,14556,799
1034690,1,1433,AltrinchamG,1682,547
503768,0,,,,
269069,0,,,,
1042457,1,8920,CardboardCitz,11088,2606
269145,0,,,,
503878,0,,,,
500816,0,,,,
269157,0,,,,
327024,0,,,,
1039776,1,1179,caportsmouth,1270,562
270864,0,,,,
1049458,0,,,,
1051168,0,,,,
1043613,0,,,,
313757,1,16439,vso_intl,21994,2303
304936,0,,,,
1045390,1,12208,StJohnsSmithSq,9391,1388
1044420,1,9124,OfficialGFW,10692,587
269655,0,,,,
232822,1,7664,thefishmish,5704,1555
231239,0,,,,
270869,0,,,,
233779,1,9400,salesianlink,1230,305
1043071,0,,,,
303853,1,40,4wpscouts,160,221
232391,0,,,,
271147,1,1028,CattleBreeders,1317,898
233838,0,,,,
1047045,1,5141,JewishWomensAid,2643,2226
